SpeedItem [upload=false, thread=0, time=6384170129, bytes=5089560]
SpeedItem [upload=false, thread=0, time=6420745544, bytes=5104040]
SpeedItem [upload=false, thread=0, time=6433309107, bytes=5133000]
SpeedItem [upload=false, thread=0, time=6469754396, bytes=5147480]
SpeedItem [upload=false, thread=0, time=6482308511, bytes=5172096]
SpeedItem [upload=false, thread=0, time=6518721851, bytes=5188024]
SpeedItem [upload=false, thread=0, time=6531368421, bytes=5215536]
SpeedItem [upload=false, thread=0, time=6567799282, bytes=5232664]
SpeedItem [upload=false, thread=0, time=6580406659, bytes=5260424]
SpeedItem [upload=false, thread=0, time=6616794906, bytes=5276104]
SpeedItem [upload=false, thread=0, time=6629773589, bytes=5303864]
SpeedItem [upload=false, thread=0, time=6665846080, bytes=5319544]
SpeedItem [upload=false, thread=0, time=6678771066, bytes=5345856]
SpeedItem [upload=false, thread=0, time=6714929394, bytes=5361784]
SpeedItem [upload=false, thread=0, time=6764268493, bytes=5374816]
SpeedItem [upload=false, thread=0, time=6776850792, bytes=5420904]
SpeedItem [upload=false, thread=0, time=6813602758, bytes=5428392]
SpeedItem [upload=false, thread=0, time=6825778004, bytes=5451560]
SpeedItem [upload=false, thread=0, time=6862668532, bytes=5460248]
SpeedItem [upload=false, thread=0, time=6875149723, bytes=5481968]
SpeedItem [upload=false, thread=0, time=6911593628, bytes=5490656]
SpeedItem [upload=false, thread=0, time=6924093177, bytes=5513824]
SpeedItem [upload=false, thread=0, time=6960513011, bytes=5522512]
SpeedItem [upload=false, thread=0, time=6972907142, bytes=5545680]
SpeedItem [upload=false, thread=0, time=7009812107, bytes=5558712]
SpeedItem [upload=false, thread=0, time=7009827232, bytes=5558712]
SpeedItem [upload=true, thread=0, time=74887417, bytes=4096]
SpeedItem [upload=true, thread=0, time=141059791, bytes=18328]
SpeedItem [upload=true, thread=0, time=181217699, bytes=43192]
SpeedItem [upload=true, thread=0, time=205600891, bytes=47288]
SpeedItem [upload=true, thread=0, time=244152287, bytes=96520]
SpeedItem [upload=true, thread=0, time=268439722, bytes=100864]
SpeedItem [upload=true, thread=0, time=306983801, bytes=200776]
SpeedItem [upload=true, thread=0, time=331503213, bytes=212360]
SpeedItem [upload=true, thread=0, time=341696605, bytes=358608]
SpeedItem [upload=true, thread=0, time=369911640, bytes=407840]
SpeedItem [upload=true, thread=0, time=394429123, bytes=431008]
SpeedItem [upload=true, thread=0, time=404508872, bytes=612008]
SpeedItem [upload=true, thread=0, time=432740032, bytes=821968]
SpeedItem [upload=true, thread=0, time=457782134, bytes=863960]
SpeedItem [upload=true, thread=0, time=468117658, bytes=1121704]
SpeedItem [upload=true, thread=0, time=478258819, bytes=1364968]
SpeedItem [upload=true, thread=0, time=495569571, bytes=1382344]
SpeedItem [upload=true, thread=0, time=520720070, bytes=1415648]
SpeedItem [upload=true, thread=0, time=530827238, bytes=1667600]
SpeedItem [upload=true, thread=0, time=541016191, bytes=1915208]
SpeedItem [upload=true, thread=0, time=551125901, bytes=2161368]
SpeedItem [upload=true, thread=0, time=561378375, bytes=2410424]
SpeedItem [upload=true, thread=0, time=571612131, bytes=2660928]
SpeedItem [upload=true, thread=0, time=583499305, bytes=2826000]
SpeedItem [upload=true, thread=0, time=593600195, bytes=3075304]
SpeedItem [upload=true, thread=0, time=603721425, bytes=3322664]
SpeedItem [upload=true, thread=0, time=613922512, bytes=3573168]
SpeedItem [upload=true, thread=0, time=624070072, bytes=3822224]
SpeedItem [upload=true, thread=0, time=634193391, bytes=4069832]
SpeedItem [upload=true, thread=0, time=644213998, bytes=4314544]
SpeedItem [upload=true, thread=0, time=654348288, bytes=4560704]
SpeedItem [upload=true, thread=0, time=664369689, bytes=4805664]
SpeedItem [upload=true, thread=0, time=674370214, bytes=5051576]
SpeedItem [upload=true, thread=0, time=767368529, bytes=5081984]
SpeedItem [upload=true, thread=0, time=777451098, bytes=7573992]
SpeedItem [upload=true, thread=0, time=787607601, bytes=7821848]
SpeedItem [upload=true, thread=0, time=797701552, bytes=8069456]
SpeedItem [upload=true, thread=0, time=832571472, bytes=8224448]
SpeedItem [upload=true, thread=0, time=842699650, bytes=8444488]
SpeedItem [upload=true, thread=0, time=852738353, bytes=8691848]
SpeedItem [upload=true, thread=0, time=862917725, bytes=8940904]
SpeedItem [upload=true, thread=0, time=935726847, bytes=9098736]
SpeedItem [upload=true, thread=0, time=945862103, bytes=10960864]
SpeedItem [upload=true, thread=0, time=956030733, bytes=11134872]
SpeedItem [upload=true, thread=0, time=966151891, bytes=11305736]
SpeedItem [upload=true, thread=0, time=976205332, bytes=11479496]
SpeedItem [upload=true, thread=0, time=986326902, bytes=11651808]
SpeedItem [upload=true, thread=0, time=996348322, bytes=11824120]
SpeedItem [upload=true, thread=0, time=1006423733, bytes=12052904]
SpeedItem [upload=true, thread=0, time=1016851964, bytes=12236800]
SpeedItem [upload=true, thread=0, time=1026976242, bytes=12423592]
SpeedItem [upload=true, thread=0, time=1037037770, bytes=12585520]
SpeedItem [upload=true, thread=0, time=1047275203, bytes=12767968]
SpeedItem [upload=true, thread=0, time=1057664320, bytes=12922904]
SpeedItem [upload=true, thread=0, time=1068000140, bytes=13158928]
SpeedItem [upload=true, thread=0, time=1078618858, bytes=13360200]
SpeedItem [upload=true, thread=0, time=1088816429, bytes=13542648]
SpeedItem [upload=true, thread=0, time=1098859193, bytes=13713512]
SpeedItem [upload=true, thread=0, time=1108950934, bytes=13895960]
SpeedItem [upload=true, thread=0, time=1119091125, bytes=14063928]
SpeedItem [upload=true, thread=0, time=1129318341, bytes=14276784]
SpeedItem [upload=true, thread=0, time=1139324410, bytes=14467920]
SpeedItem [upload=true, thread=0, time=1149538527, bytes=14638784]
SpeedItem [upload=true, thread=0, time=1159697859, bytes=14821232]
SpeedItem [upload=true, thread=0, time=1169843207, bytes=14996688]
SpeedItem [upload=true, thread=0, time=1180153797, bytes=15183480]
SpeedItem [upload=true, thread=0, time=1190291718, bytes=15372920]
SpeedItem [upload=true, thread=0, time=1200540822, bytes=15600504]
SpeedItem [upload=true, thread=0, time=1210756540, bytes=15765328]
SpeedItem [upload=true, thread=0, time=1221612130, bytes=15950672]
SpeedItem [upload=true, thread=0, time=1231822868, bytes=16141808]
SpeedItem [upload=true, thread=0, time=1241895980, bytes=16331496]
SpeedItem [upload=true, thread=0, time=1251959063, bytes=16486680]
SpeedItem [upload=true, thread=0, time=1261985754, bytes=16718360]
SpeedItem [upload=true, thread=0, time=1272049314, bytes=16918184]
SpeedItem [upload=true, thread=0, time=1282326748, bytes=17083008]
SpeedItem [upload=true, thread=0, time=1292392100, bytes=17256768]
SpeedItem [upload=true, thread=0, time=1302439304, bytes=17436320]
SpeedItem [upload=true, thread=0, time=1312571351, bytes=17584264]
SpeedItem [upload=true, thread=0, time=1322762148, bytes=17827280]
SpeedItem [upload=true, thread=0, time=1333247488, bytes=18038688]
SpeedItem [upload=true, thread=0, time=1343871528, bytes=18226928]
SpeedItem [upload=true, thread=0, time=1354012329, bytes=18415168]
SpeedItem [upload=true, thread=0, time=1364574887, bytes=18586032]
SpeedItem [upload=true, thread=0, time=1375478261, bytes=18748208]
SpeedItem [upload=true, thread=0, time=1385488735, bytes=18993168]
SpeedItem [upload=true, thread=0, time=1396096502, bytes=19204328]
SpeedItem [upload=true, thread=0, time=1406248274, bytes=19392568]
SpeedItem [upload=true, thread=0, time=1416365857, bytes=19564880]
SpeedItem [upload=true, thread=0, time=1426515026, bytes=19744680]
SpeedItem [upload=true, thread=0, time=1436722576, bytes=19903960]
SpeedItem [upload=true, thread=0, time=1446850155, bytes=20122608]
SpeedItem [upload=true, thread=0, time=1457685607, bytes=20339560]
SpeedItem [upload=true, thread=0, time=1467759131, bytes=20536488]
SpeedItem [upload=true, thread=0, time=1477859003, bytes=20720384]
SpeedItem [upload=true, thread=0, time=1487884077, bytes=20891248]
SpeedItem [upload=true, thread=0, time=1498302686, bytes=21060664]
SpeedItem [upload=true, thread=0, time=1508350374, bytes=21267728]
SpeedItem [upload=true, thread=0, time=1518895966, bytes=21506648]
SpeedItem [upload=true, thread=0, time=1529059366, bytes=21674616]
SpeedItem [upload=true, thread=0, time=1539248195, bytes=21871792]
SpeedItem [upload=true, thread=0, time=1549873092, bytes=22048200]
SpeedItem [upload=true, thread=0, time=1560967351, bytes=22243928]
SpeedItem [upload=true, thread=0, time=1571176693, bytes=22447848]
SpeedItem [upload=true, thread=0, time=1581263076, bytes=22685320]
SpeedItem [upload=true, thread=0, time=1591393277, bytes=22848944]
SpeedItem [upload=true, thread=0, time=1601469508, bytes=23040080]
SpeedItem [upload=true, thread=0, time=1611720974, bytes=23221328]
SpeedItem [upload=true, thread=0, time=1621729505, bytes=23412216]
SpeedItem [upload=true, thread=0, time=1631964035, bytes=23584528]
SpeedItem [upload=true, thread=0, time=1642060160, bytes=23826344]
SpeedItem [upload=true, thread=0, time=1652936386, bytes=24016032]
SpeedItem [upload=true, thread=0, time=1662954459, bytes=24195832]
SpeedItem [upload=true, thread=0, time=1673040359, bytes=24380928]
SpeedItem [upload=true, thread=0, time=1684203528, bytes=24590888]
SpeedItem [upload=true, thread=0, time=1694342190, bytes=24760304]
SpeedItem [upload=true, thread=0, time=1704710077, bytes=25010808]
SpeedItem [upload=true, thread=0, time=1714733903, bytes=25204840]
SpeedItem [upload=true, thread=0, time=1725836311, bytes=25394528]
SpeedItem [upload=true, thread=0, time=1735995808, bytes=25584464]
SpeedItem [upload=true, thread=0, time=1746967175, bytes=25785488]
SpeedItem [upload=true, thread=0, time=1757109881, bytes=25956600]
SpeedItem [upload=true, thread=0, time=1767317018, bytes=26198168]
SpeedItem [upload=true, thread=0, time=1777804337, bytes=26404032]
SpeedItem [upload=true, thread=0, time=1788500133, bytes=26589128]
SpeedItem [upload=true, thread=0, time=1798539526, bytes=26774472]
SpeedItem [upload=true, thread=0, time=1808738118, bytes=26987328]
SpeedItem [upload=true, thread=0, time=1818877431, bytes=27137920]
SpeedItem [upload=true, thread=0, time=1831285173, bytes=27366704]
SpeedItem [upload=true, thread=0, time=1841440101, bytes=27631688]
SpeedItem [upload=true, thread=0, time=1851672389, bytes=27805448]
SpeedItem [upload=true, thread=0, time=1862251860, bytes=28000928]
SpeedItem [upload=true, thread=0, time=1873142097, bytes=28210888]
SpeedItem [upload=true, thread=0, time=1883241841, bytes=28377408]
SpeedItem [upload=true, thread=0, time=1893762152, bytes=28565648]
SpeedItem [upload=true, thread=0, time=1903871318, bytes=28814704]
SpeedItem [upload=true, thread=0, time=1914372889, bytes=29011632]
SpeedItem [upload=true, thread=0, time=1924923312, bytes=29205664]
SpeedItem [upload=true, thread=0, time=1935037445, bytes=29405488]
SpeedItem [upload=true, thread=0, time=1945075542, bytes=29560424]
SpeedItem [upload=true, thread=0, time=1956495762, bytes=29781968]
SpeedItem [upload=true, thread=0, time=1966699739, bytes=30016792]
SpeedItem [upload=true, thread=0, time=1976937478, bytes=30220712]
SpeedItem [upload=true, thread=0, time=1987030269, bytes=30426328]
SpeedItem [upload=true, thread=0, time=1997341258, bytes=30607328]
SpeedItem [upload=true, thread=0, time=2007585163, bytes=30766608]
SpeedItem [upload=true, thread=0, time=2019092185, bytes=30998288]
SpeedItem [upload=true, thread=0, time=2029331678, bytes=31225624]
